,0,1,2,3,4,5
2008-03-07,98.9,99.1,99.3,99.6,99.8,
2008-04-11,98.9,98.8,99.0,99.3,99.7,
2008-05-14,98.1,98.6,98.8,99.0,99.3,
2008-06-06,97.9,98.1,98.6,98.8,99.1,
2008-07-11,97.2,97.7,98.1,98.6,98.8,
2008-08-08,96.8,97.4,97.8,98.1,98.7,
2008-09-05,96.2,96.9,97.4,97.8,98.2,
2008-10-10,95.8,96.5,97.1,97.5,97.9,
2008-11-07,94.3,,,,,
2008-12-05,95.0,96.0,97.0,97.8,98.5,
2009-01-12,93.8,95.1,96.3,97.4,98.4,
2009-02-06,92.9,94.0,95.3,96.5,97.7,
2009-03-06,92.3,93.3,94.4,95.7,97.0,
2009-04-10,92.0,92.7,93.5,94.6,95.9,
2009-05-11,92.2,92.4,92.8,93.5,94.6,
2009-06-08,93.2,92.7,92.6,92.9,93.6,
2009-07-10,94.0,93.2,92.7,92.6,92.9,
2009-08-07,95.7,94.5,93.5,92.9,92.7,
2009-09-11,97.8,96.3,94.9,93.7,92.9,
2009-10-09,99.2,97.7,96.2,94.8,93.5,
2009-11-06,100.6,99.3,97.9,96.5,95.1,
2009-12-11,101.4,100.4,99.2,97.8,96.4,
2010-01-08,102.3,101.4,100.3,99.0,97.7,
2010-02-05,103.1,102.2,101.3,100.2,99.0,
2010-03-05,103.6,102.8,101.9,101.0,99.9,
2010-04-12,103.6,102.9,102.2,101.3,100.4,
2010-05-10,103.9,103.3,102.6,101.9,101.0,
2010-06-11,104.0,103.6,103.0,102.4,101.7,
2010-07-09,103.7,103.6,103.3,102.9,102.3,
2010-08-06,103.4,103.5,103.4,103.2,102.8,
2010-09-13,103.1,103.2,103.3,103.2,103.0,
2010-10-11,102.9,103.0,103.0,103.1,103.0,
2010-11-08,102.8,102.8,102.8,102.8,102.9,
2010-12-13,102.6,102.5,102.5,102.5,102.6,
2011-01-10,102.8,102.6,102.4,102.3,102.3,
2011-02-14,102.8,102.5,102.3,102.2,102.1,
2011-03-14,103.1,102.8,102.4,102.1,101.9,
2011-04-11,103.2,103.0,102.6,102.3,102.0,
2011-05-09,95.7,94.5,93.5,92.9,92.7,
2011-06-14,103.0,103.0,102.9,102.8,102.5,
2011-07-13,102.5,102.8,102.9,102.9,102.8,
2011-08-08,102.2,102.5,102.8,102.9,102.9,102.7
2011-09-12,101.6,102.1,102.5,102.8,103.0,
2011-10-10,100.8,101.4,101.9,102.3,102.7,
2011-11-14,100.4,100.9,101.4,101.9,102.3,
2011-12-12,100.1,100.4,100.8,101.3,101.8,
2012-01-12,100.1,100.2,100.4,100.7,101.2,
2012-02-13,100.4,100.2,100.1,100.2,100.5,
2012-03-12,100.9,100.5,100.2,100.0,100.1,
2012-04-10,100.5,100.3,100.2,100.1,100.0,
2012-05-10,100.5,100.4,100.3,100.1,100.0,
2012-06-11,100.5,100.4,100.4,100.3,100.2,
2012-07-09,100.3,100.4,100.4,100.4,100.3,
2012-08-09,100.3,100.4,100.4,100.4,100.4,
2012-09-13,100.2,100.3,100.3,100.4,100.4,
2012-10-08,100.1,100.2,100.2,100.3,100.4,
2012-11-12,100.2,100.2,100.2,100.3,100.3,
2012-12-10,100.2,100.2,100.2,100.2,100.3,
2013-01-14,100.2,100.2,100.1,100.1,100.1,
2013-02-11,100.4,100.3,100.2,100.1,100.1,
2013-03-11,100.4,100.3,100.2,100.1,100.0,
2013-04-10,100.5,100.4,100.2,100.1,100.0,
2013-05-14,100.5,100.4,100.3,100.2,100.1,
2013-06-10,100.6,100.5,100.4,100.3,100.1,
2013-07-08,100.6,100.5,100.5,100.3,100.2,
2013-08-08,100.7,100.6,100.5,100.4,100.2,
2013-09-09,100.7,100.6,100.5,100.4,100.3,
2013-10-09,100.6,100.5,100.5,100.4,100.3,
2013-11-12,100.7,100.6,100.5,100.4,100.4,
2013-12-09,100.7,100.6,100.6,100.5,100.4,
2014-01-17,100.9,100.7,100.6,100.5,100.4,
2014-02-10,100.9,100.8,100.7,100.6,100.5,
2014-04-08,100.7,100.7,100.7,100.6,100.6,
2014-05-13,100.6,100.6,100.6,100.6,100.6,
2014-06-10,100.6,100.6,100.6,100.6,100.6,
2014-07-08,100.6,100.6,100.6,100.6,100.6,
2014-08-11,100.5,100.5,100.5,100.5,100.5,
2014-09-08,100.5,100.5,100.5,100.5,100.5,
2014-10-08,100.4,100.4,100.5,100.5,100.5,
2014-11-12,100.4,100.4,100.4,100.4,100.4,
2014-12-08,100.4,100.4,100.3,100.4,100.4,
2015-01-12,100.5,100.4,100.4,100.4,100.3,
2015-02-09,100.5,100.4,100.4,100.3,100.3,
2015-03-09,100.4,100.3,100.3,100.3,100.3,
2015-04-09,100.3,100.3,100.3,100.3,100.3,
2015-05-12,100.1,100.2,100.2,100.3,100.3,
2015-06-08,100.1,100.1,100.2,100.2,100.3,
2015-07-08,100.0,100.1,100.2,100.2,100.3,
2015-08-10,100.0,100.0,100.1,100.2,100.2,
2015-09-08,100.0,100.1,100.1,100.2,100.2,
2015-10-08,99.9,100.0,100.1,100.2,100.2,
2015-12-08,99.8,99.8,99.9,100.0,100.1,
2016-01-11,99.8,99.8,99.9,99.9,100.0,
2016-02-08,99.7,99.8,99.8,99.9,100.0,
2016-03-08,99.6,99.7,99.8,99.9,99.9,
2016-04-11,99.6,99.7,99.7,99.8,99.8,
2016-05-11,99.6,99.7,99.7,99.8,99.8,
2016-06-08,99.6,99.6,99.7,99.7,99.7,
2016-09-08,99.7,99.7,99.7,99.7,99.7,
2016-10-10,99.7,99.7,99.7,99.7,99.7,
2016-11-09,99.7,99.7,99.7,99.8,99.8,
2016-12-08,99.8,99.8,99.8,99.7,99.7,
2017-01-11,99.8,99.8,99.7,99.7,99.7,
2017-02-08,99.9,99.9,99.8,99.7,99.7,
2017-04-10,100.1,100.0,99.9,99.8,99.8,
2017-05-10,100.1,100.1,100.0,100.0,99.9,
2017-06-12,100.1,100.1,100.1,100.0,99.9,
