,0,1,2,3,4
2008-03-07,99.0,99.9,100.5,101.1,101.5
2008-04-11,99.0,99.1,99.7,100.4,101.1
2008-05-14,97.9,98.8,99.2,99.8,100.4
2008-06-06,97.9,98.2,98.9,99.3,99.8
2008-07-11,97.7,98.1,98.3,98.9,99.2
2008-08-08,97.7,98.0,98.2,98.3,99.0
2008-09-05,97.9,98.1,98.2,98.3,98.4
2008-10-10,97.0,97.5,98.0,98.3,98.3
2008-11-07,95.2,,,,
2008-12-05,94.2,95.4,96.5,97.4,98.0
2009-01-12,92.2,93.9,95.6,97.0,98.1
2009-02-06,91.3,92.7,94.3,95.9,97.3
2009-03-06,90.1,91.5,93.1,94.8,96.5
2009-04-10,89.9,91.0,92.3,94.0,95.7
2009-05-11,89.9,90.5,91.3,92.6,94.1
2009-06-08,90.9,90.7,90.9,91.5,92.6
2009-07-10,92.2,91.2,90.9,91.0,91.6
2009-08-07,93.9,92.7,91.5,91.1,91.0
2009-09-11,96.0,94.4,92.8,91.5,90.9
2009-10-09,97.4,95.9,94.3,92.8,91.4
2009-11-06,99.2,97.8,96.3,94.9,93.5
2009-12-11,99.8,98.8,97.6,96.3,94.9
2010-01-08,100.9,99.8,98.7,97.5,96.1
2010-02-05,101.5,100.5,99.6,98.5,97.3
2010-03-05,102.3,101.4,100.5,99.4,98.4
2010-04-12,102.7,101.8,100.8,99.8,98.8
2010-05-10,103.3,102.5,101.6,100.6,99.6
2010-06-11,103.6,103.0,102.2,101.3,100.4
2010-07-09,103.4,103.2,102.7,102.1,101.3
2010-08-06,103.0,103.1,103.1,102.7,102.2
2010-09-13,102.5,102.7,102.9,102.8,102.5
2010-10-11,102.3,102.4,102.6,102.7,102.7
2010-11-08,102.4,102.3,102.3,102.3,102.4
2010-12-13,102.3,102.0,101.9,101.9,102.0
2011-01-10,102.7,102.2,101.8,101.6,101.6
2011-02-14,102.5,102.1,101.8,101.5,101.4
2011-03-14,103.2,102.5,101.9,101.5,101.1
2011-04-11,103.2,102.9,102.5,102.0,101.5
2011-05-09,93.9,92.7,91.5,91.1,91.0
2011-06-14,103.4,103.3,103.1,102.7,102.2
2011-07-13,103.4,103.4,103.3,103.0,102.6
2011-08-08,103.1,103.2,,,
2011-09-12,102.2,102.8,103.2,103.4,103.4
2011-10-10,101.5,102.1,102.6,103.0,103.2
2011-11-14,101.2,101.5,102.0,102.4,102.8
2011-12-12,100.9,101.0,101.3,101.8,102.2
2012-01-12,101.2,101.0,101.0,101.2,101.6
2012-02-13,102.0,101.3,100.8,100.5,100.6
2012-03-12,102.5,101.8,101.1,100.6,100.4
2012-04-10,101.3,101.0,100.7,100.4,100.1
2012-05-10,101.3,101.1,100.9,100.6,100.3
2012-06-11,101.2,101.2,101.1,100.9,100.6
2012-07-09,100.9,101.1,101.2,101.1,101.0
2012-08-09,100.9,101.0,101.1,101.1,101.0
2012-09-13,100.8,100.9,100.9,101.0,100.9
2012-10-08,100.5,100.6,100.7,100.8,100.9
2012-11-12,100.9,100.8,100.8,100.8,100.9
2012-12-10,100.9,100.8,100.8,100.7,100.8
2013-01-14,101.0,100.8,100.7,100.6,100.6
2013-02-11,101.0,100.9,100.8,100.6,100.5
2013-03-11,100.9,100.9,100.8,100.7,100.6
2013-04-10,101.2,101.0,100.9,100.7,100.5
2013-05-14,101.1,101.1,101.0,100.8,100.7
2013-06-10,101.0,101.0,100.9,100.8,100.7
2013-07-08,101.0,101.0,100.9,100.8,100.7
2013-08-08,101.2,101.0,100.8,100.7,100.6
2013-09-09,101.1,101.0,100.9,100.8,100.7
2013-10-09,100.9,100.9,100.9,100.8,100.7
2013-11-12,100.8,100.9,100.9,100.8,100.8
2013-12-09,100.8,100.8,100.8,100.8,100.8
