,0,1,2,3,4,5
2008-03-07,,,,,,
2008-04-11,,,,,,
2008-05-14,,,,,,
2008-06-06,101.8,103.1,103.5,101.6,99.7,
2008-07-11,99.2,100.9,101.4,101.7,100.7,
2008-08-08,94.0,98.2,100.1,101.6,101.9,
2008-09-05,87.2,93.4,98.0,100.6,102.0,
2008-10-10,,,,,,
2008-11-07,94.4,,,,,
2008-12-05,94.3,95.4,96.7,97.5,98.5,
2009-01-12,94.4,95.1,95.7,96.6,97.3,
2009-02-06,95.3,95.0,95.1,95.5,96.4,
2009-03-06,95.5,95.0,94.9,95.1,95.5,
2009-04-10,94.5,92.9,91.7,91.1,91.1,
2009-05-11,96.8,94.6,92.7,91.4,90.8,
2009-06-08,99.0,96.5,94.3,92.5,91.2,
2009-07-10,99.8,97.6,95.5,93.5,91.9,
2009-08-07,100.7,98.9,97.0,95.0,93.2,
2009-09-11,101.2,99.9,98.4,96.7,94.8,
2009-10-09,101.0,100.1,99.1,97.8,96.2,
2009-11-06,101.5,100.8,99.9,98.8,97.5,
2009-12-11,100.9,100.6,100.2,99.5,98.5,
2010-01-08,100.4,100.3,100.1,99.7,99.1,
2010-02-05,106.6,106.3,105.9,105.4,104.7,
2010-03-05,106.8,106.5,106.2,105.8,105.3,
2010-04-12,105.1,105.3,105.4,105.3,105.1,
2010-05-10,104.0,104.6,105.1,105.4,105.4,
2010-06-11,103.6,104.2,104.6,105.0,105.2,
2010-07-09,103.4,103.8,104.1,104.5,104.9,
2010-08-06,103.5,103.5,103.6,103.9,104.2,
2010-09-13,102.8,103.1,103.3,103.6,104.0,
2010-10-11,102.5,102.8,103.1,103.3,103.6,
2010-11-08,101.9,102.4,102.7,103.1,103.4,
2010-12-13,101.3,101.8,102.3,102.7,103.1,
2011-01-10,101.1,101.4,101.9,102.3,102.6,
2011-02-14,100.0,100.6,101.2,101.8,102.4,
2011-03-14,100.7,100.6,100.7,101.0,101.4,
2011-04-11,100.2,100.1,100.1,100.2,100.3,
2011-05-09,100.7,98.9,97.0,95.0,93.2,
2011-06-14,100.5,100.5,100.5,100.5,100.5,
2011-07-13,99.8,100.2,100.4,100.6,100.7,
2011-08-08,99.8,100.0,100.2,100.4,100.6,100.7
2011-09-12,99.4,99.8,100.2,100.6,100.8,
2011-10-10,98.8,99.4,100.0,100.4,100.8,
2011-11-14,98.3,98.9,99.5,100.1,100.6,
2011-12-12,97.8,98.4,99.0,99.7,100.31,
2012-01-12,97.2,97.9,98.7,99.4,100.1,
2012-02-13,97.2,97.6,98.2,98.8,99.4,
2012-03-12,98.8,98.5,98.4,98.5,98.8,
2012-04-10,99.6,99.4,99.3,99.3,99.3,
2012-05-10,100.0,99.7,99.5,99.3,99.3,
2012-06-11,100.1,99.9,99.7,99.4,99.3,
2012-07-09,100.4,100.1,99.9,99.6,99.4,
2012-08-09,100.6,100.3,100.1,99.8,99.5,
2012-09-13,100.5,100.4,100.2,100.1,99.8,
2012-10-08,100.3,100.4,100.4,100.3,100.1,
2012-11-12,100.5,100.4,100.4,100.3,100.2,
2012-12-10,100.6,100.5,100.4,100.3,100.2,
2013-01-14,100.7,100.5,100.4,100.3,100.2,
2013-02-11,101.0,100.7,100.5,100.3,100.1,
2013-03-11,101.1,100.8,100.6,100.3,100.1,
2013-04-10,100.8,100.6,100.4,100.2,100.0,
2013-05-14,101.0,100.8,100.5,100.3,100.1,
2013-06-10,101.0,100.8,100.6,100.4,100.2,
2013-07-08,101.2,101.0,100.8,100.6,100.4,
2013-08-08,101.4,101.1,100.9,100.6,100.4,
2013-09-09,101.4,101.3,101.1,100.8,100.6,
2013-10-09,101.2,101.2,101.1,101.0,100.8,
