,BXIIUSTP Index
Date,px_last
1999-04-30,3.3767
1999-05-03,4.7107
1999-05-04,6.6456
1999-05-05,5.9205
1999-05-06,8.2117
1999-05-07,11.1802
1999-05-10,11.669
1999-05-11,11.0559
1999-05-12,10.3308
1999-05-13,6.8258
1999-05-14,12.562
1999-05-17,15.5304
1999-05-18,13.403
1999-05-19,10.5588
1999-05-20,10.679
1999-05-21,12.1414
1999-05-24,10.9917
1999-05-25,9.7778
1999-05-26,9.9125
1999-05-27,10.5078
1999-05-28,11.807
1999-06-01,17.1758
1999-06-02,16.7427
1999-06-03,15.4298
1999-06-04,13.2646
1999-06-07,12.7422
1999-06-08,13.0996
1999-06-09,14.4126
1999-06-10,14.0966
1999-06-11,18.4823
1999-06-14,16.2894
1999-06-15,15.4989
1999-06-16,16.6948
1999-06-17,13.8349
1999-06-18,12.6528
1999-06-21,13.7253
1999-06-22,14.0072
1999-06-23,16.4682
1999-06-24,17.7056
1999-06-25,17.2587
1999-06-28,15.4026
1999-06-29,13.2167
1999-06-30,13.8928
1999-07-01,15.2959
1999-07-02,12.4903
1999-07-06,12.8292
1999-07-07,14.7159
1999-07-08,11.7889
1999-07-09,11.5471
1999-07-12,8.2812
1999-07-13,8.668
1999-07-14,7.2412
1999-07-15,7.3137
1999-07-16,7.652
1999-07-19,9.1998
1999-07-20,11.2554
1999-07-21,11.8843
1999-07-22,14.9085
1999-07-23,17.0373
1999-07-26,17.1583
1999-07-27,16.2148
1999-07-28,15.1749
1999-07-29,16.7958
1999-07-30,17.0169
1999-08-02,16.9413
1999-08-03,17.8372
1999-08-04,20.0654
1999-08-05,22.8231
1999-08-06,24.8476
1999-08-09,25.1559
1999-08-10,26.1275
1999-08-11,27.2736
1999-08-12,23.9982
1999-08-13,21.4268
1999-08-16,16.5049
1999-08-17,11.8914
1999-08-18,15.673
1999-08-19,17.2613
1999-08-20,18.8728
1999-08-23,17.0751
1999-08-24,16.8017
1999-08-25,11.7403
1999-08-26,10.5767
1999-08-27,11.1661
1999-08-30,13.1267
1999-08-31,13.7101
1999-09-01,13.4394
1999-09-02,17.2291
1999-09-03,15.3305
1999-09-07,14.8953
1999-09-08,13.6661
1999-09-09,15.4787
1999-09-10,13.8728
1999-09-13,13.8527
1999-09-14,15.6031
1999-09-15,15.6433
1999-09-16,14.9135
1999-09-17,12.3309
1999-09-20,13.1028
1999-09-21,15.1019
1999-09-22,14.7891
1999-09-23,10.2897
1999-09-24,10.6609
1999-09-27,10.3098
1999-09-28,15.4328
1999-09-29,16.2688
1999-09-30,15.3069
1999-10-01,16.2943
1999-10-04,14.0134
1999-10-05,14.4629
1999-10-06,13.3696
1999-10-07,14.3412
1999-10-08,16.4671
1999-10-12,17.6292
1999-10-13,18.2789
1999-10-14,19.2153
1999-10-15,19.2427
1999-10-18,21.0035
1999-10-19,19.6668
1999-10-20,19.9789
1999-10-21,21.4884
1999-10-22,21.5316
1999-10-25,20.0044
1999-10-26,18.911
1999-10-27,15.5544
1999-10-28,12.3194
1999-10-29,8.6485
1999-11-01,8.9523
1999-11-02,6.7071
1999-11-03,6.6916
1999-11-04,0.1476
1999-11-05,4.6566
1999-11-08,4.6722
1999-11-09,3.4367
1999-11-10,2.5377
1999-11-12,-0.7654
1999-11-15,-0.3806
1999-11-16,-2.3063
1999-11-17,1.5421
1999-11-18,2.3118
1999-11-19,1.8304
1999-11-22,1.9582
1999-11-23,1.1402
1999-11-24,-0.8167
1999-11-26,-1.213
1999-11-29,-0.7709
1999-11-30,-0.4407
1999-12-01,-0.8909
1999-12-02,-0.1261
1999-12-03,0.9992
1999-12-06,0.2944
1999-12-07,-1.52
1999-12-08,-2.6675
1999-12-09,-2.7948
1999-12-10,-5.0816
1999-12-13,-6.2291
1999-12-14,-6.1174
1999-12-15,-6.2152
1999-12-16,-5.3157
1999-12-17,-5.6607
1999-12-20,-3.0889
1999-12-21,-1.9792
1999-12-22,-2.0918
1999-12-23,-0.6371
1999-12-27,0.8028
1999-12-28,1.3951
1999-12-29,2.3101
1999-12-30,2.3027
1999-12-31,1.5649
2000-01-03,2.0451
2000-01-04,1.1969
2000-01-05,4.7116
2000-01-06,3.3929
2000-01-07,1.3654
2000-01-10,-0.7571
2000-01-11,3.3657
2000-01-12,2.7267
2000-01-13,1.3711
2000-01-14,3.0617
2000-01-18,6.743
2000-01-19,6.2685
2000-01-20,8.0927
2000-01-21,9.6787
2000-01-24,6.6036
2000-01-25,6.5707
2000-01-26,2.657
2000-01-27,-2.9415
2000-01-28,-13.7376
2000-01-31,-17.3503
2000-02-01,-19.6272
2000-02-02,-24.3408
2000-02-03,-27.1071
2000-02-04,-28.5088
2000-02-07,-24.2277
2000-02-08,-28.3581
2000-02-09,-19.7869
2000-02-10,-13.0975
2000-02-11,-12.9189
2000-02-14,-15.7886
2000-02-15,-15.1582
2000-02-16,-14.5184
2000-02-17,-16.4846
2000-02-18,-20.2011
2000-02-22,-23.5885
2000-02-23,-25.0654
2000-02-24,-22.977
2000-02-25,-15.8299
2000-02-28,-16.1935
2000-02-29,-20.349
2000-03-01,-21.399
2000-03-02,-21.1602
2000-03-03,-21.0655
2000-03-06,-22.713
2000-03-07,-19.4381
2000-03-08,-20.2543
2000-03-09,-21.7073
2000-03-10,-22.0509
2000-03-13,-22.9367
2000-03-14,-25.1908
2000-03-15,-27.8731
2000-03-16,-29.0823
2000-03-17,-34.2032
2000-03-20,-35.1836
2000-03-21,-37.9456
2000-03-22,-37.2886
2000-03-23,-40.8718
2000-03-24,-41.2406
2000-03-27,-43.5199
2000-03-28,-43.1864
2000-03-29,-43.4202
2000-03-30,-45.0868
2000-03-31,-47.9301
2000-04-03,-46.7313
2000-04-04,-38.6828
2000-04-05,-40.5523
2000-04-06,-42.4931
2000-04-07,-46.2924
2000-04-10,-45.2113
2000-04-11,-40.0529
2000-04-12,-34.4877
2000-04-13,-36.3962
2000-04-14,-34.1201
2000-04-17,-26.4501
2000-04-18,-25.255
2000-04-19,-31.3482
2000-04-20,-34.8658
2000-04-24,-35.2725
2000-04-25,-35.9041
2000-04-26,-39.3967
2000-04-27,-43.4496
2000-04-28,-49.9495
2000-05-01,-46.0543
2000-05-02,-43.3905
2000-05-03,-36.9488
2000-05-04,-32.8692
2000-05-05,-34.3681
2000-05-08,-32.1063
2000-05-09,-35.0549
2000-05-10,-38.5399
2000-05-11,-40.7346
2000-05-12,-37.9865
2000-05-15,-39.8463
2000-05-16,-44.1435
2000-05-17,-39.6368
2000-05-18,-35.8921
2000-05-19,-34.0834
2000-05-22,-38.3223
2000-05-23,-39.3189
2000-05-24,-38.1629
2000-05-25,-41.1958
2000-05-26,-45.3759
2000-05-30,-47.2936
2000-05-31,-51.8634
2000-06-01,-48.8151
2000-06-02,-43.2818
2000-06-05,-43.7194
2000-06-06,-43.2149
2000-06-07,-44.7765
2000-06-08,-46.8333
2000-06-09,-48.2143
2000-06-12,-48.0804
2000-06-13,-41.1768
2000-06-14,-42.709
2000-06-15,-42.6234
2000-06-16,-41.2799
2000-06-19,-40.6041
2000-06-20,-42.7184
2000-06-21,-41.8339
2000-06-22,-40.1866
2000-06-23,-38.997
2000-06-26,-41.0337
2000-06-27,-42.2621
2000-06-28,-39.3007
2000-06-29,-40.2615
2000-06-30,-39.7064
2000-07-03,-38.5751
2000-07-05,-38.9652
2000-07-06,-36.7338
2000-07-07,-37.6299
2000-07-10,-35.7676
2000-07-11,-34.0353
2000-07-12,-32.9882
2000-07-13,-36.5477
2000-07-14,-35.1736
2000-07-17,-34.5516
2000-07-18,-34.2775
2000-07-19,-35.0857
2000-07-20,-38.3011
2000-07-21,-39.9033
2000-07-24,-37.658
2000-07-25,-38.048
2000-07-26,-37.5069
2000-07-27,-38.6841
2000-07-28,-37.6299
2000-07-31,-38.154
2000-08-01,-39.9396
2000-08-02,-39.2296
2000-08-03,-40.7897
2000-08-04,-38.1845
2000-08-07,-36.9352
2000-08-08,-38.4587
2000-08-09,-40.7044
2000-08-10,-41.7282
2000-08-11,-42.7611
2000-08-14,-44.7203
2000-08-15,-45.4303
2000-08-16,-44.9306
2000-08-17,-45.1804
2000-08-18,-46.7161
2000-08-21,-45.8051
2000-08-22,-45.6558
2000-08-23,-47.8161
2000-08-24,-46.0823
2000-08-25,-46.0823
2000-08-28,-43.3735
2000-08-29,-42.8566
2000-08-30,-42.0501
2000-08-31,-41.8751
2000-09-01,-39.1431
2000-09-05,-39.4137
2000-09-06,-37.7494
2000-09-07,-37.0186
2000-09-08,-36.7889
2000-09-11,-35.0975
2000-09-12,-35.5169
2000-09-13,-35.7474
2000-09-14,-31.8645
2000-09-15,-24.0315
2000-09-18,-18.3632
2000-09-19,-22.0835
2000-09-20,-23.0571
2000-09-21,-24.9242
2000-09-22,-24.5187
2000-09-25,-28.1172
2000-09-26,-28.6722
2000-09-27,-27.5899
2000-09-28,-30.1061
2000-09-29,-29.9126
2000-10-02,-28.4807
2000-10-03,-27.4473
2000-10-04,-27.5556
2000-10-05,-29.3166
2000-10-06,-32.4243
2000-10-10,-33.2989
2000-10-11,-31.929
2000-10-12,-28.2797
2000-10-13,-25.5861
2000-10-16,-29.5529
2000-10-17,-31.012
2000-10-18,-31.012
2000-10-19,-34.5067
2000-10-20,-37.3474
2000-10-23,-39.9946
2000-10-24,-39.5804
2000-10-25,-40.2576
2000-10-26,-41.7862
2000-10-27,-40.2072
2000-10-30,-40.8496
2000-10-31,-34.8212
2000-11-01,-32.2864
2000-11-02,-33.8187
2000-11-03,-29.9415
2000-11-06,-29.558
2000-11-07,-29.8407
2000-11-08,-31.5371
2000-11-09,-33.1248
2000-11-10,-33.7634
2000-11-13,-33.8642
2000-11-14,-37.5121
2000-11-15,-41.1422
2000-11-16,-42.5835
2000-11-17,-41.0967
2000-11-20,-42.4194
2000-11-21,-42.9849
2000-11-22,-42.7852
2000-11-24,-44.5903
2000-11-27,-44.3076
2000-11-28,-45.339
2000-11-29,-41.1994
2000-11-30,-42.3962
2000-12-01,-40.6718
2000-12-04,-36.1912
2000-12-05,-31.1111
2000-12-06,-33.3824
2000-12-07,-35.8924
2000-12-08,-35.1592
2000-12-11,-36.4084
2000-12-12,-38.8349
2000-12-13,-40.472
2000-12-14,-43.6278
2000-12-15,-44.5355
2000-12-18,-42.5726
2000-12-19,-42.1129
2000-12-20,-37.5682
2000-12-21,-32.5638
2000-12-22,-31.497
2000-12-26,-31.2235
2000-12-27,-30.1218
2000-12-28,-31.8151
2000-12-29,-31.3442
2001-01-02,-26.2457
2001-01-03,-12.6879
2001-01-04,-8.1415
2001-01-05,-0.8348
2001-01-08,1.7632
2001-01-09,-5.9494
2001-01-10,-7.1348
2001-01-11,-3.4977
2001-01-12,-6.3717
2001-01-16,-6.7776
2001-01-17,-10.707
2001-01-18,-7.8817
2001-01-19,-3.6926
2001-01-22,2.0229
2001-01-23,1.5032
2001-01-24,2.9646
2001-01-25,-0.0555
2001-01-26,1.4383
2001-01-29,3.5166
2001-01-30,1.0811
2001-01-31,3.6105
2001-02-01,-1.9529
2001-02-02,-4.3898
2001-02-05,-5.6647
2001-02-06,-5.1645
2001-02-07,-5.8858
2001-02-08,-7.0682
2001-02-09,-8.1971
2001-02-12,-5.8497
2001-02-13,-9.2117
2001-02-14,-12.8686
2001-02-15,-10.9823
2001-02-16,-7.2156
2001-02-20,-7.4743
2001-02-21,-2.4847
2001-02-22,4.8132
2001-02-23,5.4954
2001-02-26,8.1486
2001-02-27,2.8872
2001-02-28,-1.3072
2001-03-01,-4.7941
2001-03-02,-1.8006
2001-03-05,-2.4031
2001-03-06,0.0419
2001-03-07,-0.9029
2001-03-08,-2.1119
2001-03-09,-1.8046
2001-03-12,-0.6347
2001-03-13,0.3061
2001-03-14,2.8402
2001-03-15,9.1644
2001-03-16,3.0303
2001-03-19,0.8616
2001-03-20,3.1665
2001-03-21,3.0964
2001-03-22,3.0884
2001-03-23,4.0021
2001-03-26,5.5144
2001-03-27,5.2972
2001-03-28,7.9404
2001-03-29,11.6214
2001-03-30,13.3002
2001-04-02,16.4404
2001-04-03,18.2759
2001-04-04,20.7102
2001-04-05,22.388
2001-04-06,19.0031
2001-04-09,20.9853
2001-04-10,25.5181
2001-04-11,22.5144
2001-04-12,22.7299
2001-04-16,22.9544
2001-04-17,21.3261
2001-04-18,29.355
2001-04-19,35.7234
2001-04-20,40.1398
2001-04-23,41.23
2001-04-24,42.7218
2001-04-25,40.6405
2001-04-26,37.3435
2001-04-27,41.1502
2001-04-30,40.9451
2001-05-01,40.57
2001-05-02,37.3577
2001-05-03,30.7982
2001-05-04,36.2834
2001-05-07,39.9059
2001-05-08,42.9641
2001-05-09,39.3257
2001-05-10,43.3902
2001-05-11,46.086
2001-05-14,47.1465
2001-05-15,53.348
2001-05-16,52.8018
2001-05-17,44.8396
2001-05-18,39.8676
2001-05-21,37.2535
2001-05-22,40.6709
2001-05-23,42.5677
2001-05-24,44.1892
2001-05-25,47.5896
2001-05-29,47.6463
2001-05-30,49.0419
2001-05-31,46.5455
2001-06-01,42.7912
2001-06-04,38.4867
2001-06-05,41.4038
2001-06-06,40.5318
2001-06-07,45.0352
2001-06-08,44.3448
2001-06-11,43.8501
2001-06-12,42.5976
2001-06-13,45.2896
2001-06-14,46.217
2001-06-15,50.6911
2001-06-18,53.8658
2001-06-19,53.9887
2001-06-20,54.5943
2001-06-21,53.0112
2001-06-22,52.6013
2001-06-25,51.8435
2001-06-26,51.8555
2001-06-27,43.525
2001-06-28,38.0594
2001-06-29,45.235
2001-07-02,45.3751
2001-07-03,45.8705
2001-07-05,46.1407
2001-07-06,51.1496
2001-07-09,48.7277
2001-07-10,49.3882
2001-07-11,49.1505
2001-07-12,45.4051
2001-07-13,42.1551
2001-07-16,41.5696
2001-07-17,40.0859
2001-07-18,44.9847
