Date,KOSPI2 Index
1996-12-10,72.14
1996-12-11,72.03
1996-12-12,69.91
1996-12-13,70.12
1996-12-14,69.95
1996-12-16,68.09
1996-12-17,67.17
1996-12-18,67.51
1996-12-19,71.39
1996-12-20,72.45
1996-12-21,71.52
1996-12-23,70.74
1996-12-24,70.24
1996-12-26,68.61
1996-12-27,67.93
1997-01-03,68.72
1997-01-04,67.39
1997-01-06,65.92
1997-01-07,64.53
1997-01-08,66.36
1997-01-09,68.42
1997-01-10,69.23
1997-01-11,70.22
1997-01-13,70.15
1997-01-14,73.27
1997-01-15,74.47
1997-01-16,75.35
1997-01-17,74.02
1997-01-18,73.07
1997-01-20,75.44
1997-01-21,72.45
1997-01-22,71.4
1997-01-23,71
1997-01-24,71.12
1997-01-25,71.51
1997-01-27,69.38
1997-01-28,69.41
1997-01-29,69.55
1997-01-30,70.81
1997-01-31,71.62
1997-02-01,71.47
1997-02-03,72.01
1997-02-04,72.98
1997-02-05,73.46
1997-02-06,73.59
1997-02-10,74.37
1997-02-11,74.64
1997-02-12,74.62
1997-02-13,75.2
1997-02-14,75.58
1997-02-15,75.46
1997-02-17,74.14
1997-02-18,73.44
1997-02-19,73.82
1997-02-20,73.33
1997-02-21,70.8
1997-02-22,70.25
1997-02-24,69.71
1997-02-25,70.47
1997-02-26,70.02
1997-02-27,68.58
1997-02-28,69.24
1997-03-03,69.4
1997-03-04,69.13
1997-03-05,68.48
1997-03-06,68.88
1997-03-07,68.92
1997-03-08,68.28
1997-03-10,67.29
1997-03-11,66.14
1997-03-12,66.83
1997-03-13,66.31
1997-03-14,64.74
1997-03-15,64.74
1997-03-17,66.46
1997-03-18,66.42
1997-03-19,65.04
1997-03-20,64.65
1997-03-21,62.89
1997-03-22,62.7
1997-03-24,62.72
1997-03-25,64.99
1997-03-26,66.9
1997-03-27,65.98
1997-03-28,66.01
1997-03-29,67.69
1997-03-31,68.72
1997-04-01,68.29
1997-04-02,68.89
1997-04-03,69.12
1997-04-04,70.18
1997-04-07,71.15
1997-04-08,71.06
1997-04-09,71.04
1997-04-10,69.86
1997-04-11,70.28
1997-04-12,70.61
1997-04-14,71.41
1997-04-15,71.12
1997-04-16,71.08
1997-04-17,70.12
1997-04-18,70.12
1997-04-19,70.8
1997-04-21,70.6
1997-04-22,69.66
1997-04-23,69.98
1997-04-24,69.62
1997-04-25,69.71
1997-04-26,70.69
1997-04-28,71.44
1997-04-29,71.3
1997-04-30,71.21
1997-05-02,71.47
1997-05-03,71.15
1997-05-06,70.53
1997-05-07,69.21
1997-05-08,68.43
1997-05-09,68.57
1997-05-10,67.77
1997-05-12,67.54
1997-05-13,68.93
1997-05-15,70.82
1997-05-16,70.67
1997-05-17,71.27
1997-05-19,72.96
1997-05-20,74.6
1997-05-21,75.17
1997-05-22,73.85
1997-05-23,74.41
1997-05-24,73.59
1997-05-26,72.89
1997-05-27,73.32
1997-05-28,75.29
1997-05-29,76.1
1997-05-30,76.5
1997-05-31,77.88
1997-06-02,77.92
1997-06-03,78.99
1997-06-04,78.64
1997-06-05,78.76
1997-06-07,78.46
1997-06-09,80.07
1997-06-10,79.25
1997-06-11,78.81
1997-06-12,79.71
1997-06-13,81.7
1997-06-14,82.53
1997-06-16,82.3
1997-06-17,83
1997-06-18,80.66
1997-06-19,80.18
1997-06-20,79.8
1997-06-21,78.69
1997-06-23,78.09
1997-06-24,78.18
1997-06-25,76.99
1997-06-26,77.27
1997-06-27,76.33
1997-06-28,77.53
1997-06-30,77.5
1997-07-01,79.28
1997-07-02,81.63
1997-07-03,81.39
1997-07-04,82.38
1997-07-05,81.94
1997-07-07,81.1
1997-07-08,80.09
1997-07-09,80.33
1997-07-10,79.64
1997-07-11,79.55
1997-07-12,79.37
1997-07-14,79.06
1997-07-15,78.28
1997-07-16,76.58
1997-07-18,77.39
1997-07-19,77
1997-07-21,77.11
1997-07-22,75.68
1997-07-23,76.15
1997-07-24,76.77
1997-07-25,75.99
1997-07-26,75.72
1997-07-28,75.68
1997-07-29,75.54
1997-07-30,75.21
1997-07-31,74.92
1997-08-01,75.49
1997-08-02,75.31
1997-08-04,75.7
1997-08-05,76.44
1997-08-06,76.84
1997-08-07,76.84
1997-08-08,77.6
1997-08-09,79.05
1997-08-11,79.38
1997-08-12,79.29
1997-08-13,79.32
1997-08-14,78.62
1997-08-16,77.84
1997-08-18,77.65
1997-08-19,76.67
1997-08-20,77.34
1997-08-21,76.55
1997-08-22,76.53
1997-08-23,77.37
1997-08-25,77.21
1997-08-26,76.31
1997-08-27,75.8
1997-08-28,74.6
1997-08-29,73.56
1997-08-30,72.81
1997-09-01,71.44
1997-09-02,72.39
1997-09-03,71.79
1997-09-04,71.47
1997-09-05,73.08
1997-09-06,73.11
1997-09-08,72.65
1997-09-09,71.74
1997-09-10,71.99
1997-09-11,72.45
1997-09-12,73.01
1997-09-13,72.96
1997-09-18,73.13
1997-09-19,71.72
1997-09-20,70.53
1997-09-22,69.3
1997-09-23,67.62
1997-09-24,67.75
1997-09-25,66.82
1997-09-26,66.02
1997-09-27,65.42
1997-09-29,65.64
1997-09-30,68.07
1997-10-01,67.54
1997-10-02,66.72
1997-10-04,67.97
1997-10-06,67.54
1997-10-07,65.73
1997-10-08,63.48
1997-10-09,63.28
1997-10-10,63.26
1997-10-11,64.3
1997-10-13,63.55
1997-10-14,64.42
1997-10-15,62.66
1997-10-16,59.77
1997-10-17,60.49
1997-10-18,60.51
1997-10-20,58.72
1997-10-21,59.14
1997-10-22,63.12
1997-10-23,63.44
1997-10-24,59.6
1997-10-25,57.08
