Date,LUATTRUU Index
1996-12-10,819.96
1996-12-11,815.01
1996-12-12,813.78
1996-12-13,816.5
1996-12-16,815.01
1996-12-17,814.02
1996-12-18,812.46
1996-12-19,816.17
1996-12-20,816.74
1996-12-23,817.4
1996-12-24,817.32
1996-12-26,817.4
1996-12-27,819.38
1996-12-30,819.79
1996-12-31,815.77
1997-01-02,811.84
1997-01-03,812.74
1997-01-06,812.33
1997-01-07,811.27
1997-01-08,810.86
1997-01-09,813.14
1997-01-10,809.39
1997-01-13,809.88
1997-01-14,813.39
1997-01-15,813.47
1997-01-16,811.76
1997-01-17,812.57
1997-01-21,814.61
1997-01-22,813.55
1997-01-23,812.74
1997-01-24,811.11
1997-01-27,809.96
1997-01-28,811.35
1997-01-29,812.08
1997-01-30,813.31
1997-01-31,816.58
1997-02-03,819.09
1997-02-04,819.67
1997-02-05,819.09
1997-02-06,818.85
1997-02-07,821.05
1997-02-10,821.46
1997-02-11,821.46
1997-02-12,821.3
1997-02-13,824.4
1997-02-14,826.44
1997-02-18,826.69
1997-02-19,826.12
1997-02-20,824.16
1997-02-21,824.07
1997-02-24,823.42
1997-02-25,823.34
1997-02-26,817.22
1997-02-27,816.56
1997-02-28,817.58
1997-03-03,816.83
1997-03-04,815.76
1997-03-05,816.25
1997-03-06,815.11
1997-03-07,817.23
1997-03-10,817.72
1997-03-11,817.56
1997-03-12,816.58
1997-03-13,812.41
1997-03-14,813.8
1997-03-17,813.56
1997-03-18,813.39
1997-03-19,812.74
1997-03-20,812.9
1997-03-21,812.98
1997-03-24,814.21
1997-03-25,813.07
1997-03-26,812.08
1997-03-27,808.49
1997-03-31,808.74
1997-04-01,809.7
1997-04-02,810.18
1997-04-03,810.67
1997-04-04,808.65
1997-04-07,811.07
1997-04-08,810.27
1997-04-09,810.35
1997-04-10,810.27
1997-04-11,807.84
1997-04-14,808.24
1997-04-15,811.72
1997-04-16,811.15
1997-04-17,812.85
1997-04-18,813.58
1997-04-21,812.77
1997-04-22,814.15
1997-04-23,812.93
1997-04-24,811.48
1997-04-25,810.99
1997-04-28,812.37
1997-04-29,818.27
1997-04-30,820.35
1997-05-01,821.24
1997-05-02,822.14
1997-05-05,822.88
1997-05-06,822.88
1997-05-07,820.26
1997-05-08,822.06
1997-05-09,824.03
1997-05-12,825.26
1997-05-13,823.13
1997-05-14,824.44
1997-05-15,825.34
1997-05-16,824.19
