Date,MXKR000G Index
1996-12-31,100
1997-01-01,100
1997-01-02,100
1997-01-03,102.31
1997-01-06,100.07
1997-01-07,98.41
1997-01-08,99.47
1997-01-09,101.3
1997-01-10,103.86
1997-01-13,105.55
1997-01-14,110.23
1997-01-15,112.76
1997-01-16,113.15
1997-01-17,112.18
1997-01-20,114.26
1997-01-21,109.88
1997-01-22,105.55
1997-01-23,106.14
1997-01-24,108.03
1997-01-27,105.35
1997-01-28,106.25
1997-01-29,108.08
1997-01-30,110.91
1997-01-31,111.82
1997-02-03,112.99
1997-02-04,114.66
1997-02-05,114.14
1997-02-06,114.22
1997-02-07,114.22
1997-02-10,114.94
1997-02-11,114.6
1997-02-12,114.99
1997-02-13,116.56
1997-02-14,116.54
1997-02-17,113.95
1997-02-18,114.09
1997-02-19,115.16
1997-02-20,114.35
1997-02-21,109.57
1997-02-24,108.36
1997-02-25,110.06
1997-02-26,108.62
1997-02-27,106.86
1997-02-28,106.23
1997-03-03,106.84
1997-03-04,107.13
1997-03-05,104.62
1997-03-06,105.3
1997-03-07,106.38
1997-03-10,105.03
1997-03-11,103.21
1997-03-12,105.4
1997-03-13,103.99
1997-03-14,102.43
1997-03-17,105.17
1997-03-18,104.78
1997-03-19,103.14
1997-03-20,103.78
1997-03-21,102.04
1997-03-24,101.91
1997-03-25,105.05
1997-03-26,106.77
1997-03-27,105.11
1997-03-28,105.49
1997-03-31,107.45
1997-04-01,107.13
1997-04-02,108.58
1997-04-03,108.18
1997-04-04,108.13
1997-04-07,109.97
1997-04-08,110.18
1997-04-09,110.77
1997-04-10,109.19
1997-04-11,109.95
1997-04-14,111.22
1997-04-15,111.09
1997-04-16,111.18
1997-04-17,109.18
1997-04-18,108.99
1997-04-21,108.96
1997-04-22,108.13
1997-04-23,109.51
1997-04-24,108.45
1997-04-25,107.44
1997-04-28,109.96
1997-04-29,109.22
1997-04-30,108.59
1997-05-01,108.59
1997-05-02,109.2
1997-05-05,108.27
1997-05-06,108.54
1997-05-07,106.21
1997-05-08,104.89
1997-05-09,104.95
1997-05-12,103.99
1997-05-13,104.74
1997-05-14,104.74
1997-05-15,106.05
1997-05-16,104.92
1997-05-19,106.25
1997-05-20,109.43
1997-05-21,109.91
1997-05-22,107.95
1997-05-23,107.82
1997-05-26,106.74
1997-05-27,106.65
1997-05-28,108.26
1997-05-29,111.21
1997-05-30,112.34
1997-06-02,114.44
1997-06-03,114.73
1997-06-04,116.21
1997-06-05,116.5
1997-06-06,116.5
1997-06-09,116.38
1997-06-10,115.94
1997-06-11,115.03
1997-06-12,115.22
1997-06-13,118.27
1997-06-16,119.6
1997-06-17,120.77
1997-06-18,119.31
1997-06-19,117.73
1997-06-20,117.17
1997-06-23,115.55
1997-06-24,116.71
1997-06-25,114.79
1997-06-26,111.13
1997-06-27,112.55
1997-06-30,113.08
1997-07-01,113.89
1997-07-02,117.1
1997-07-03,116.86
1997-07-04,117.68
1997-07-07,116.23
1997-07-08,115.57
1997-07-09,116.52
1997-07-10,115.74
1997-07-11,115.72
1997-07-14,114.82
1997-07-15,113.6
1997-07-16,111.9
1997-07-17,111.9
1997-07-18,114.99
1997-07-21,114.01
1997-07-22,112.88
1997-07-23,113.53
1997-07-24,113.1
1997-07-25,112.64
1997-07-28,111.65
1997-07-29,111.9
1997-07-30,110.66
1997-07-31,108.82
1997-08-01,109.14
1997-08-04,109.83
1997-08-05,111.74
1997-08-06,112.58
1997-08-07,113.08
1997-08-08,114.42
1997-08-11,116.19
1997-08-12,115.22
1997-08-13,116.72
1997-08-14,114
1997-08-15,114
1997-08-18,113.32
1997-08-19,112.64
1997-08-20,113.15
1997-08-21,112.49
1997-08-22,112.26
1997-08-25,112.19
1997-08-26,110.47
1997-08-27,110.91
1997-08-28,108.45
1997-08-29,106.78
1997-09-01,103.79
1997-09-02,103.93
1997-09-03,104.88
1997-09-04,104.53
1997-09-05,105.45
1997-09-08,104.69
1997-09-09,103.36
1997-09-10,103.7
1997-09-11,104.02
1997-09-12,104.07
1997-09-15,104.68
1997-09-16,104.68
1997-09-17,104.68
1997-09-18,105.51
1997-09-19,103.4
1997-09-22,98.4
1997-09-23,95.22
1997-09-24,94.87
1997-09-25,94.71
1997-09-26,94.78
1997-09-29,94.3
1997-09-30,96.67
1997-10-01,95.64
1997-10-02,94.48
1997-10-03,94.48
1997-10-06,94.32
1997-10-07,91.78
1997-10-08,87.94
1997-10-09,88.28
1997-10-10,87.51
1997-10-13,88.81
1997-10-14,90.85
1997-10-15,88.32
1997-10-16,84.45
1997-10-17,84.41
1997-10-20,83.68
1997-10-21,83.35
1997-10-22,88.15
1997-10-23,87.42
1997-10-24,81.87
