Date,MXKR000V Index,,,,,,
1996-12-09,,,,,,,
1996-12-10,,,,,,,
1996-12-11,,,,,,,
1996-12-12,,,,,,,
1996-12-13,,,,,,,
1996-12-16,,,,,,,
1996-12-17,,,,,,,
1996-12-18,,,,,,,
1996-12-19,,,,,,,
1996-12-20,,,,,,,
1996-12-23,,,,,,,
1996-12-24,,,,,,,
1996-12-26,,,,,,,
1996-12-27,,,,,,,
1996-12-31,100,,,,,,
1997-01-01,100,,,,,,
1997-01-02,100,,,,,,
1997-01-03,101.29,,,,,,
1997-01-06,97.27,,,,,,
1997-01-07,95.69,,,,,,
1997-01-08,99.43,,,,,,
1997-01-09,102.96,,,,,,
1997-01-10,103.65,,,,,,
1997-01-13,104.1,,,,,,
1997-01-14,108.72,,,,,,
1997-01-15,109.84,,,,,,
1997-01-16,111.34,,,,,,
1997-01-17,108.56,,,,,,
1997-01-20,110.65,,,,,,
1997-01-21,106.55,,,,,,
1997-01-22,105.82,,,,,,
1997-01-23,104.71,,,,,,
1997-01-24,104.09,,,,,,
1997-01-27,101.11,,,,,,
1997-01-28,100.94,,,,,,
1997-01-29,100.54,,,,,,
1997-01-30,102.28,,,,,,
1997-01-31,103.17,,,,,,
1997-02-03,102.96,,,,,,
1997-02-04,103.9,,,,,,
1997-02-05,105.36,,,,,,
1997-02-06,105.36,,,,,,
1997-02-07,105.36,,,,,,
1997-02-10,106.2,,,,,,
1997-02-11,106.96,,,,,,
1997-02-12,106.7,,,,,,
1997-02-13,107.05,,,,,,
1997-02-14,108.2,,,,,,
1997-02-17,106.33,,,,,,
1997-02-18,104.91,,,,,,
1997-02-19,105.07,,,,,,
1997-02-20,104.56,,,,,,
1997-02-21,101.66,,,,,,
1997-02-24,99.78,,,,,,
1997-02-25,100.38,,,,,,
1997-02-26,100.02,,,,,,
1997-02-27,97.18,,,,,,
1997-02-28,98.48,,,,,,
1997-03-03,98.55,,,,,,
1997-03-04,97.87,,,,,,
1997-03-05,97,,,,,,
1997-03-06,97.54,,,,,,
1997-03-07,96.94,,,,,,
1997-03-10,94.45,,,,,,
1997-03-11,93.18,,,,,,
1997-03-12,94.14,,,,,,
1997-03-13,93.42,,,,,,
1997-03-14,90.86,,,,,,
1997-03-17,93.46,,,,,,
1997-03-18,93.32,,,,,,
1997-03-19,91.09,,,,,,
1997-03-20,90,,,,,,
1997-03-21,87.43,,,,,,
1997-03-24,88.37,,,,,,
1997-03-25,91.23,,,,,,
1997-03-26,94.43,,,,,,
1997-03-27,93,,,,,,
1997-03-28,92.41,,,,,,
1997-03-31,97.21,,,,,,
1997-04-01,97.02,,,,,,
1997-04-02,97.92,,,,,,
1997-04-03,98.96,,,,,,
1997-04-04,101.62,,,,,,
1997-04-07,102.69,,,,,,
1997-04-08,102.22,,,,,,
1997-04-09,101.38,,,,,,
1997-04-10,99.23,,,,,,
1997-04-11,99.96,,,,,,
1997-04-14,101.72,,,,,,
1997-04-15,101.4,,,,,,
1997-04-16,101.22,,,,,,
1997-04-17,99.97,,,,,,
1997-04-18,100.11,,,,,,
1997-04-21,101.31,,,,,,
1997-04-22,99.89,,,,,,
1997-04-23,100.05,,,,,,
1997-04-24,99.43,,,,,,
1997-04-25,99.73,,,,,,
1997-04-28,102.7,,,,,,
1997-04-29,102.55,,,,,,
1997-04-30,102.46,,,,,,
1997-05-01,102.46,,,,,,
1997-05-02,102.79,,,,,,
1997-05-05,102.2,,,,,,
1997-05-06,100.77,,,,,,
1997-05-07,98.68,,,,,,
1997-05-08,97.49,,,,,,
1997-05-09,97.98,,,,,,
1997-05-12,96.61,,,,,,
1997-05-13,99.46,,,,,,
1997-05-14,99.46,,,,,,
1997-05-15,103.39,,,,,,
1997-05-16,103.98,,,,,,
1997-05-19,108.52,,,,,,
1997-05-20,111.33,,,,,,
1997-05-21,113.1,,,,,,
1997-05-22,110.75,,,,,,
1997-05-23,112.09,,,,,,
1997-05-26,108.77,,,,,,
1997-05-27,109.84,,,,,,
1997-05-28,114,,,,,,
1997-05-29,115.05,,,,,,
1997-05-30,115.35,,,,,,
1997-06-02,118.21,,,,,,
1997-06-03,120.73,,,,,,
1997-06-04,119.45,,,,,,
1997-06-05,119.65,,,,,,
1997-06-06,119.65,,,,,,
1997-06-09,122.72,,,,,,
1997-06-10,120.63,,,,,,
1997-06-11,120.23,,,,,,
1997-06-12,122.94,,,,,,
1997-06-13,126.01,,,,,,
1997-06-16,127.35,,,,,,
1997-06-17,127.87,,,,,,
1997-06-18,122.76,,,,,,
1997-06-19,122.05,,,,,,
1997-06-20,120.8,,,,,,
1997-06-23,117.78,,,,,,
1997-06-24,117.62,,,,,,
1997-06-25,115.66,,,,,,
1997-06-26,118,,,,,,
1997-06-27,115.15,,,,,,
1997-06-30,117.52,,,,,,
1997-07-01,121.71,,,,,,
1997-07-02,125.71,,,,,,
1997-07-03,124.98,,,,,,
1997-07-04,126.69,,,,,,
1997-07-07,124.18,,,,,,
1997-07-08,122.32,,,,,,
1997-07-09,122.39,,,,,,
1997-07-10,120.99,,,,,,
1997-07-11,120.61,,,,,,
1997-07-14,120.01,,,,,,
1997-07-15,119.11,,,,,,
1997-07-16,115.64,,,,,,
1997-07-17,115.64,,,,,,
1997-07-18,116.4,,,,,,
1997-07-21,116.3,,,,,,
1997-07-22,114.26,,,,,,
1997-07-23,115.64,,,,,,
1997-07-24,116.77,,,,,,
1997-07-25,115.36,,,,,,
1997-07-28,114.84,,,,,,
1997-07-29,114.15,,,,,,
1997-07-30,113.04,,,,,,
1997-07-31,113.85,,,,,,
1997-08-01,114.86,,,,,,
1997-08-04,114.81,,,,,,
1997-08-05,115.17,,,,,,
1997-08-06,115.76,,,,,,
1997-08-07,115.64,,,,,,
1997-08-08,117.28,,,,,,
1997-08-11,120,,,,,,
1997-08-12,119.78,,,,,,
1997-08-13,119.26,,,,,,
1997-08-14,118.88,,,,,,
1997-08-15,118.88,,,,,,
1997-08-18,117.63,,,,,,
1997-08-19,115.65,,,,,,
1997-08-20,116.93,,,,,,
1997-08-21,115.59,,,,,,
1997-08-22,115.64,,,,,,
1997-08-25,117.32,,,,,,
1997-08-26,115.91,,,,,,
1997-08-27,114.67,,,,,,
1997-08-28,113,,,,,,
1997-08-29,111.68,,,,,,
1997-09-01,107.79,,,,,,
1997-09-02,110.18,,,,,,
1997-09-03,107.48,,,,,,
1997-09-04,107.24,,,,,,
1997-09-05,110.59,,,,,,
1997-09-08,110.09,,,,,,
1997-09-09,108.72,,,,,,
1997-09-10,109.16,,,,,,
1997-09-11,110.15,,,,,,
1997-09-12,111.35,,,,,,
1997-09-15,111.13,,,,,,
1997-09-16,111.13,,,,,,
1997-09-17,111.13,,,,,,
1997-09-18,111.16,,,,,,
1997-09-19,108.89,,,,,,
1997-09-22,105.44,,,,,,
1997-09-23,103.36,,,,,,
1997-09-24,103.1,,,,,,
1997-09-25,100.69,,,,,,
1997-09-26,99.1,,,,,,
1997-09-29,98.96,,,,,,
1997-09-30,103.15,,,,,,
1997-10-01,102.51,,,,,,
1997-10-02,100.89,,,,,,
1997-10-03,100.89,,,,,,
1997-10-06,102.81,,,,,,
1997-10-07,99.5,,,,,,
1997-10-08,96.05,,,,,,
1997-10-09,95.24,,,,,,
1997-10-10,95.55,,,,,,
1997-10-13,95.48,,,,,,
1997-10-14,96.62,,,,,,
1997-10-15,94.16,,,,,,
1997-10-16,90.31,,,,,,
1997-10-17,92.64,,,,,,
1997-10-20,90.33,,,,,,
1997-10-21,91.63,,,,,,
1997-10-22,98.48,,,,,,
1997-10-23,99.86,,,,,,
1997-10-24,93.66,,,,,,
1997-10-27,87.89,,,,,,
1997-10-28,82.35,,,,,,
1997-10-29,86.3,,,,,,
1997-10-30,83.66,,,,,,
1997-10-31,82.02,,,,,,
1997-11-03,88.31,,,,,,
1997-11-04,93.4,,,,,,
1997-11-05,93.55,,,,,,
1997-11-06,91.82,,,,,,
1997-11-07,84.94,,,,,,
1997-11-10,86.06,,,,,,
1997-11-11,86.32,,,,,,
1997-11-12,85.15,,,,,,
1997-11-13,85.73,,,,,,
1997-11-14,85.88,,,,,,
1997-11-17,82.2,,,,,,
1997-11-18,81.62,,,,,,
1997-11-19,82.93,,,,,,
1997-11-20,81.07,,,,,,
1997-11-21,85.22,,,,,,
1997-11-24,75.75,,,,,,
1997-11-25,73.92,,,,,,
1997-11-26,73.75,,,,,,
1997-11-27,71.05,,,,,,
1997-11-28,67.51,,,,,,
1997-12-01,63.71,,,,,,
1997-12-02,61.08,,,,,,
1997-12-03,62.62,,,,,,
1997-12-04,67.39,,,,,,
1997-12-05,72.45,,,,,,
1997-12-08,69.54,,,,,,
1997-12-09,65.56,,,,,,
1997-12-10,68.61,,,,,,
1997-12-11,65.1,,,,,,
1997-12-12,60.21,,,,,,
1997-12-15,67.45,,,,,,
1997-12-16,70.63,,,,,,
1997-12-17,73.2,,,,,,
1997-12-18,73.2,,,,,,
1997-12-19,69.46,,,,,,
1997-12-22,68.41,,,,,,
1997-12-23,63.13,,,,,,
1997-12-24,60.28,,,,,,
1997-12-25,60.28,,,,,,
1997-12-26,64.36,,,,,,
1997-12-29,65.11,,,,,,
1997-12-30,65.11,,,,,,
1997-12-31,65.11,,,,,,
1998-01-01,65.11,,,,,,
1998-01-02,65.11,,,,,,
1998-01-05,68.61,,,,,,
1998-01-06,69.84,,,,,,
1998-01-07,68.43,,,,,,
1998-01-08,70.24,,,,,,
1998-01-09,68.24,,,,,,
1998-01-12,75.7,,,,,,
1998-01-13,75.82,,,,,,
1998-01-14,76.76,,,,,,
1998-01-15,81.9,,,,,,
1998-01-16,77.61,,,,,,
1998-01-19,85.18,,,,,,
1998-01-20,85.92,,,,,,
1998-01-21,81.76,,,,,,
1998-01-22,79.43,,,,,,
1998-01-23,80.67,,,,,,
1998-01-26,83.87,,,,,,
1998-01-27,83.87,,,,,,
1998-01-28,83.87,,,,,,
1998-01-29,83.87,,,,,,
