Date,USDKRW BOKR Curncy,,,
2004-04-12,1141.8,,,
2004-04-13,1141.1,,,
2004-04-14,1151.3,,,
2004-04-16,1160.1,,,
2004-04-19,1153.8,,,
2004-04-20,1151.4,,,
2004-04-21,1154.9,,,
2004-04-22,1159.8,,,
2004-04-23,1158.3,,,
2004-04-26,1155,,,
2004-04-27,1152,,,
2004-04-28,1156.4,,,
2004-04-29,1170.7,,,
2004-04-30,1173.3,,,
2004-05-03,1171.8,,,
2004-05-04,1170,,,
2004-05-06,1166.1,,,
2004-05-07,1171.1,,,
2004-05-10,1183.1,,,
2004-05-11,1188.5,,,
2004-05-12,1181.5,,,
2004-05-13,1185.6,,,
2004-05-14,1187,,,
2004-05-17,1183.5,,,
2004-05-18,1182,,,
2004-05-19,1173.3,,,
2004-05-20,1180,,,
2004-05-21,1175.3,,,
2004-05-24,1177.2,,,
2004-05-25,1177.7,,,
2004-05-27,1169.8,,,
2004-05-28,1164.9,,,
2004-05-31,1160.1,,,
2004-06-01,1160.6,,,
2004-06-02,1164.8,,,
2004-06-03,1164.4,,,
2004-06-07,1159.1,,,
2004-06-08,1158.2,,,
2004-06-09,1154.2,,,
2004-06-10,1159.4,,,
2004-06-11,1164,,,
2004-06-14,1162.4,,,
2004-06-15,1163.4,,,
2004-06-16,1157.1,,,
2004-06-17,1157.3,,,
2004-06-18,1160,,,
2004-06-21,1156.7,,,
2004-06-22,1158.4,,,
2004-06-23,1159.7,,,
2004-06-24,1155.7,,,
2004-06-25,1149.8,,,
2004-06-28,1152.5,,,
2004-06-29,1151.9,,,
2004-06-30,1155.5,,,
2004-07-01,1152.7,,,
2004-07-02,1155.1,,,
2004-07-05,1152.7,,,
2004-07-06,1154.9,,,
2004-07-07,1152,,,
2004-07-08,1150,,,
2004-07-09,1149.3,,,
2004-07-12,1147.6,,,
2004-07-13,1149.8,,,
2004-07-14,1153,,,
2004-07-15,1160.9,,,
2004-07-16,1164.5,,,
2004-07-19,1157.5,,,
2004-07-20,1160.7,,,
2004-07-21,1159,,,
2004-07-22,1162.4,,,
2004-07-23,1166.2,,,
2004-07-26,1161.3,,,
2004-07-27,1164.8,,,
2004-07-29,1168.3,,,
2004-07-30,1170,,,
2004-08-02,1164.8,,,
2004-08-03,1165.2,,,
2004-08-04,1167.6,,,
2004-08-05,1163.4,,,
2004-08-06,1162.6,,,
2004-08-09,1156.3,,,
2004-08-10,1155,,,
2004-08-11,1159.7,,,
2004-08-12,1157.5,,,
2004-08-13,1162.3,,,
2004-08-16,1159.1,,,
2004-08-17,1157.6,,,
2004-08-18,1157.8,,,
2004-08-19,1155.1,,,
2004-08-20,1154.3,,,
2004-08-23,1153.2,,,
2004-08-24,1156,,,
2004-08-25,1156.4,,,
2004-08-26,1153.7,,,
2004-08-27,1153,,,
2004-08-30,1154.5,,,
2004-08-31,1153,,,
2004-09-01,1151.8,,,
2004-09-02,1150.5,,,
2004-09-03,1150,,,
2004-09-06,1152.9,,,
2004-09-07,1150.8,,,
2004-09-08,1149.7,,,
2004-09-09,1145.1,,,
2004-09-10,1145.8,,,
2004-09-13,1145,,,
2004-09-14,1145.1,,,
2004-09-15,1144.2,,,
2004-09-16,1145.8,,,
2004-09-17,1146.7,,,
2004-09-20,1146.3,,,
2004-09-21,1146.9,,,
2004-09-22,1144.2,,,
2004-09-23,1146.3,,,
2004-09-24,1149.5,,,
2004-09-30,1151.8,,,
2004-10-01,1148.8,,,
2004-10-04,1149.6,,,
2004-10-05,1148.6,,,
2004-10-06,1152.6,,,
2004-10-07,1150.2,,,
2004-10-08,1147.9,,,
2004-10-11,1146,,,
2004-10-12,1146,,,
2004-10-13,1147.2,,,
2004-10-14,1144.5,,,
2004-10-15,1145.4,,,
2004-10-18,1143.5,,,
2004-10-19,1144.8,,,
2004-10-20,1142.9,,,
2004-10-21,1141.1,,,
2004-10-22,1140.7,,,
2004-10-25,1135,,,
2004-10-26,1133.5,,,
2004-10-27,1128.9,,,
2004-10-28,1125,,,
2004-10-29,1119.6,,,
2004-11-01,1119,,,
2004-11-02,1114.8,,,
2004-11-03,1116.2,,,
2004-11-04,1113.4,,,
2004-11-05,1110.6,,,
2004-11-08,1105.3,,,
2004-11-09,1103.6,,,
2004-11-10,1110.5,,,
2004-11-11,1112.1,,,
2004-11-12,1104.5,,,
2004-11-15,1092,,,
2004-11-16,1090.3,,,
2004-11-17,1081.4,,,
2004-11-18,1065.4,,,
2004-11-19,1068.7,,,
2004-11-22,1065.3,,,
2004-11-23,1065.9,,,
2004-11-24,1066.6,,,
2004-11-25,1057.2,,,
2004-11-26,1046.4,,,
2004-11-29,1047,,,
2004-11-30,1048.2,,,
2004-12-01,1046,,,
2004-12-02,1041.5,,,
2004-12-03,1045.5,,,
2004-12-06,1040.9,,,
2004-12-07,1041.9,,,
2004-12-08,1058.9,,,
2004-12-10,1067.7,,,
2004-12-13,1061.9,,,
2004-12-14,1058,,,
2004-12-15,1061.4,,,
2004-12-16,1056.3,,,
2004-12-17,1060,,,
2004-12-20,1058.2,,,
2004-12-21,1055.5,,,
2004-12-22,1053.5,,,
2004-12-23,1050.5,,,
2004-12-24,1048.4,,,
2004-12-27,1046.4,,,
2004-12-28,1042.4,,,
2004-12-29,1041,,,
2004-12-30,1041.8,,,
2004-12-31,1035.1,,,
2005-01-03,1038.1,,,
2005-01-04,1038.7,,,
2005-01-05,1046.3,,,
2005-01-06,1058.8,,,
2005-01-07,1051.1,,,
2005-01-10,1053.7,,,
2005-01-11,1045.1,,,
2005-01-12,1042.2,,,
2005-01-13,1036.7,,,
2005-01-14,1043,,,
2005-01-17,1035.7,,,
2005-01-18,1035.7,,,
2005-01-19,1030.9,,,
2005-01-20,1033.2,,,
2005-01-21,1038.1,,,
