Date,USDKRW Curncy
1996-12-11,831.7
1996-12-12,836
1996-12-13,839.4
1996-12-16,839.6
1996-12-17,840.7
1996-12-18,839.8
1996-12-19,840.4
1996-12-20,840.5
1996-12-23,840.8
1996-12-24,841
1996-12-25,841
1996-12-26,841.4
1996-12-27,840.6
1996-12-30,840.4
1996-12-31,840.9
1997-01-01,840.9
1997-01-02,840.9
1997-01-03,841.3
1997-01-06,839.4
1997-01-07,841.4
1997-01-08,841.3
1997-01-09,841.5
1997-01-10,843.4
1997-01-13,843.5
1997-01-14,844.2
1997-01-15,845
1997-01-16,848.85
1997-01-17,845.7
1997-01-20,849.65
1997-01-21,846.3
1997-01-22,848.7
1997-01-23,850.2
1997-01-24,850.7
1997-01-27,850.7
1997-01-28,858.35
1997-01-29,854.1
1997-01-30,856.2
1997-01-31,864.95
1997-02-03,861.1
1997-02-04,863.4
1997-02-05,865.2
1997-02-06,866.5
1997-02-07,866.5
1997-02-10,864.4
1997-02-11,864.4
1997-02-12,869.25
1997-02-13,865.3
1997-02-14,874.95
1997-02-17,879.95
1997-02-18,875.3
1997-02-19,875.2
1997-02-20,875.2
1997-02-21,852.1
1997-02-24,864.85
1997-02-25,861
1997-02-26,859
1997-02-27,864.4
1997-02-28,860.5
1997-03-03,863.35
1997-03-04,860.2
1997-03-05,868.05
1997-03-06,864.1
1997-03-07,869.65
1997-03-10,875
1997-03-11,871.2
1997-03-12,874.2
1997-03-13,874.3
1997-03-14,874.3
1997-03-17,879.95
1997-03-18,883.1
1997-03-19,884.55
1997-03-20,884
1997-03-21,884.85
1997-03-24,887.8
1997-03-25,888.75
1997-03-26,885.2
1997-03-27,894.15
1997-03-28,899
1997-03-31,893.6
1997-04-01,893.6
1997-04-02,892.7
1997-04-03,892.5
1997-04-04,892.65
1997-04-07,891.9
1997-04-08,894.05
1997-04-09,894.15
1997-04-10,890.7
1997-04-11,893
1997-04-14,887.3
1997-04-15,890.9
1997-04-16,891.9
1997-04-17,890.8
1997-04-18,889.9
1997-04-21,890.2
1997-04-22,889.6
1997-04-23,888.6
1997-04-24,889.1
1997-04-25,892.45
1997-04-28,889.1
1997-04-29,893
1997-04-30,891.95
1997-05-01,891.95
1997-05-02,893.15
1997-05-05,888.4
1997-05-06,888.4
1997-05-07,890.5
1997-05-08,891.7
1997-05-09,893.15
1997-05-12,888.7
1997-05-13,893
1997-05-14,887.1
1997-05-15,889.6
1997-05-16,887.7
1997-05-19,888.7
1997-05-20,887.8
1997-05-21,887.1
1997-05-22,891.35
1997-05-23,890.5
1997-05-26,891.75
1997-05-27,887.8
1997-05-28,889.5
1997-05-29,890
1997-05-30,888.3
1997-06-02,888.3
1997-06-03,888.5
1997-06-04,887.5
1997-06-05,887.5
1997-06-06,887.5
1997-06-09,887.5
1997-06-10,888.5
1997-06-11,887.6
1997-06-12,887.1
1997-06-13,887.4
1997-06-16,886.2
1997-06-17,885
1997-06-18,888.45
1997-06-19,885
1997-06-20,884.9
1997-06-23,884.9
1997-06-24,877.9
1997-06-25,884.2
1997-06-26,884.2
1997-06-27,884.8
1997-06-30,884.8
1997-07-01,887.85
1997-07-02,884.6
1997-07-03,883.9
1997-07-04,887.25
1997-07-07,883
1997-07-08,887.75
1997-07-09,884.2
1997-07-10,889.15
1997-07-11,880.4
1997-07-14,881.9
1997-07-15,887.9
1997-07-16,887.3
1997-07-17,885
1997-07-18,889.3
1997-07-21,883
1997-07-22,889.9
1997-07-23,884.4
1997-07-24,892.35
1997-07-25,890.75
1997-07-28,887.9
1997-07-29,891.65
1997-07-30,891.95
1997-07-31,881
1997-08-01,889.25
1997-08-04,885.8
1997-08-05,885.3
1997-08-06,886.5
1997-08-07,886.5
1997-08-08,886
1997-08-11,893.55
1997-08-12,884.5
1997-08-13,890.5
1997-08-14,890.5
1997-08-15,890.5
1997-08-18,891
1997-08-19,893
1997-08-20,893
1997-08-21,894
1997-08-22,899.75
1997-08-25,895.8
1997-08-26,899.8
1997-08-27,901
1997-08-28,901.75
1997-08-29,902
1997-09-01,904.45
1997-09-02,900.6
1997-09-03,900.4
1997-09-04,900.9
1997-09-05,907.45
1997-09-08,907.65
1997-09-09,904.3
1997-09-10,904.8
1997-09-11,905.1
1997-09-12,908.7
1997-09-15,905.1
1997-09-16,905.1
1997-09-17,905.1
1997-09-18,909.65
1997-09-19,905.5
1997-09-22,908.9
1997-09-23,909
1997-09-24,910.2
1997-09-25,910.1
1997-09-26,911
1997-09-29,911.1
1997-09-30,911.1
1997-10-01,910
1997-10-02,909
1997-10-03,909.4
1997-10-06,909.3
1997-10-07,910.6
1997-10-08,910.8
1997-10-09,911.2
1997-10-10,911.1
1997-10-13,913.95
1997-10-14,910.7
1997-10-15,910.1
1997-10-16,910.7
1997-10-17,911.1
1997-10-20,911.2
1997-10-21,920.4
1997-10-22,919.1
1997-10-23,913.4
1997-10-24,925.8
