Date,USDSGD Curncy
1996-12-11,1.3985
1996-12-12,1.3978
1996-12-13,1.399
1996-12-16,1.4003
1996-12-17,1.4001
1996-12-18,1.3999
1996-12-19,1.3995
1996-12-20,1.399
1996-12-23,1.4005
1996-12-24,1.3985
1996-12-25,1.3985
1996-12-26,1.399
1996-12-27,1.4003
1996-12-30,1.4003
1996-12-31,1.3993
1997-01-01,1.3995
1997-01-02,1.399
1997-01-03,1.4033
1997-01-06,1.4057
1997-01-07,1.404
1997-01-08,1.4055
1997-01-09,1.4059
1997-01-10,1.405
1997-01-13,1.404
1997-01-14,1.4045
1997-01-15,1.405
1997-01-16,1.404
1997-01-17,1.4055
1997-01-20,1.4065
1997-01-21,1.4065
1997-01-22,1.4088
1997-01-23,1.409
1997-01-24,1.408
1997-01-27,1.4083
1997-01-28,1.4102
1997-01-29,1.4074
1997-01-30,1.4077
1997-01-31,1.408
1997-02-03,1.4082
1997-02-04,1.4091
1997-02-05,1.4135
1997-02-06,1.413
1997-02-07,1.413
1997-02-10,1.4093
1997-02-11,1.417
1997-02-12,1.4172
1997-02-13,1.4186
1997-02-14,1.4175
1997-02-17,1.4191
1997-02-18,1.4239
1997-02-19,1.4263
1997-02-20,1.4268
1997-02-21,1.4242
1997-02-24,1.4215
1997-02-25,1.4228
1997-02-26,1.4245
1997-02-27,1.4255
1997-02-28,1.425
1997-03-03,1.4258
1997-03-04,1.4268
1997-03-05,1.4272
1997-03-06,1.4315
1997-03-07,1.434
1997-03-10,1.4323
1997-03-11,1.432
1997-03-12,1.4335
1997-03-13,1.4345
1997-03-14,1.4345
1997-03-17,1.4352
1997-03-18,1.4384
1997-03-19,1.44
1997-03-20,1.4475
1997-03-21,1.4469
1997-03-24,1.4395
1997-03-25,1.4408
1997-03-26,1.45
1997-03-27,1.4433
1997-03-28,1.447
1997-03-31,1.445
1997-04-01,1.4362
1997-04-02,1.4403
1997-04-03,1.4333
1997-04-04,1.4365
1997-04-07,1.4408
1997-04-08,1.442
1997-04-09,1.443
1997-04-10,1.4383
1997-04-11,1.4403
1997-04-14,1.4417
1997-04-15,1.4419
1997-04-16,1.4411
1997-04-17,1.4415
1997-04-18,1.441
1997-04-21,1.4385
1997-04-22,1.4435
1997-04-23,1.444
1997-04-24,1.4445
1997-04-25,1.4425
1997-04-28,1.4463
1997-04-29,1.4457
1997-04-30,1.4475
1997-05-01,1.4462
1997-05-02,1.447
1997-05-05,1.4463
1997-05-06,1.4455
1997-05-07,1.446
