,usyieldspread_10y_2y Index
Date,px_last
2001-01-06,-0.362
2001-01-13,-0.359
2001-01-20,-0.433
2001-01-27,-0.497
2001-02-03,-0.511
2001-02-10,-0.394
2001-02-17,-0.39
2001-02-24,-0.567
2001-03-03,-0.484
2001-03-10,-0.46
2001-03-17,-0.53
2001-03-24,-0.554
2001-03-31,-0.737
2001-04-07,-0.811
2001-04-14,-0.817
2001-04-21,-1.052
2001-04-28,-1.069
2001-05-05,-1.06
2001-05-12,-1.133
2001-05-19,-1.046
2001-05-26,-1.243
2001-06-02,-1.151
2001-06-09,-1.203
2001-06-16,-1.256
2001-06-23,-1.218
2001-06-30,-1.17
2001-07-07,-1.239
2001-07-14,-1.146
2001-07-21,-1.183
2001-07-28,-1.235
2001-08-04,-1.262
2001-08-11,-1.293
2001-08-18,-1.196
2001-08-25,-1.154
2001-09-01,-1.203
2001-09-08,-1.285
2001-09-15,-1.687
2001-09-22,-1.824
2001-09-29,-1.737
2001-10-06,-1.783
2001-10-13,-1.866
2001-10-20,-1.867
2001-10-27,-1.904
2001-11-03,-1.872
2001-11-10,-1.877
2001-11-17,-1.831
2001-11-24,-1.837
2001-12-01,-1.911
2001-12-08,-1.966
2001-12-15,-2.035
2001-12-22,-1.955
2001-12-29,-1.956
2002-01-05,-1.973
2002-01-12,-2.139
2002-01-19,-1.958
2002-01-26,-1.888
2002-02-02,-1.916
2002-02-09,-1.974
2002-02-16,-1.931
2002-02-23,-1.886
2002-03-02,-1.797
2002-03-09,-1.766
2002-03-16,-1.746
2002-03-23,-1.699
2002-03-30,-1.685
2002-04-06,-1.734
2002-04-13,-1.793
2002-04-20,-1.8822
2002-04-27,-1.8497
2002-05-04,-1.9084
2002-05-11,-1.9566
2002-05-18,-1.8847
2002-05-25,-1.9222
2002-06-01,-1.8499
2002-06-08,-1.9314
2002-06-15,-1.9117
2002-06-22,-1.9264
2002-06-29,-1.9861
2002-07-06,-1.9894
2002-07-13,-2.0508
2002-07-20,-2.1092
2002-07-27,-2.1638
2002-08-03,-2.2904
2002-08-10,-2.1925
2002-08-17,-2.0665
2002-08-24,-2.0752
2002-08-31,-1.9919
2002-09-07,-1.9676
2002-09-14,-1.8623
2002-09-21,-1.8668
2002-09-28,-1.8633
2002-10-05,-1.8784
2002-10-12,-1.9605
2002-10-19,-2.0574
2002-10-26,-2.1105
2002-11-02,-2.2409
2002-11-09,-2.0072
2002-11-16,-2.158
2002-11-23,-2.1193
2002-11-30,-2.1489
2002-12-07,-2.2204
2002-12-14,-2.2226
2002-12-21,-2.2294
2002-12-28,-2.2177
2003-01-04,-2.267
2003-01-11,-2.374
2003-01-18,-2.3332
2003-01-25,-2.2856
2003-02-01,-2.2734
2003-02-08,-2.3126
2003-02-15,-2.344
2003-02-22,-2.2963
2003-03-01,-2.1817
2003-03-08,-2.2454
2003-03-15,-2.1677
2003-03-22,-2.3227
2003-03-29,-2.3602
2003-04-05,-2.3991
2003-04-12,-2.3382
2003-04-19,-2.2817
2003-04-26,-2.3188
2003-05-03,-2.3582
2003-05-10,-2.2406
2003-05-17,-2.1114
2003-05-24,-1.9908
2003-05-31,-2.0482
2003-06-07,-2.1091
2003-06-14,-2.0321
2003-06-21,-2.2049
2003-06-28,-2.1941
2003-07-05,-2.3459
2003-07-12,-2.356
2003-07-19,-2.5137
2003-07-26,-2.675
2003-08-02,-2.6104
2003-08-09,-2.5751
2003-08-16,-2.734
2003-08-23,-2.5596
2003-08-30,-2.4957
2003-09-06,-2.6299
2003-09-13,-2.6342
2003-09-20,-2.4975
2003-09-27,-2.4472
2003-10-04,-2.5657
2003-10-11,-2.6279
2003-10-18,-2.5328
2003-10-25,-2.5055
2003-11-01,-2.4752
2003-11-08,-2.4318
2003-11-15,-2.4124
2003-11-22,-2.3445
2003-11-29,-2.2879
2003-12-06,-2.3635
2003-12-13,-2.4364
2003-12-20,-2.349
2003-12-27,-2.3392
2004-01-03,-2.4803
2004-01-10,-2.4243
2004-01-17,-2.36
2004-01-24,-2.4122
2004-01-31,-2.313
2004-02-07,-2.3316
2004-02-14,-2.3695
2004-02-21,-2.3943
2004-02-28,-2.3301
2004-03-06,-2.2886
2004-03-13,-2.2577
2004-03-20,-2.261
2004-03-27,-2.2495
2004-04-03,-2.2975
2004-04-10,-2.333
2004-04-17,-2.3537
2004-04-24,-2.2258
2004-05-01,-2.1908
2004-05-08,-2.1531
2004-05-15,-2.2377
2004-05-22,-2.2148
2004-05-29,-2.1145
2004-06-05,-2.0841
2004-06-12,-1.9949
2004-06-19,-1.9272
2004-06-26,-1.9121
2004-07-03,-1.9365
2004-07-10,-1.9443
2004-07-17,-1.8558
2004-07-24,-1.781
2004-07-31,-1.7976
2004-08-07,-1.8363
2004-08-14,-1.7734
2004-08-21,-1.7986
2004-08-28,-1.7468
2004-09-04,-1.7161
2004-09-11,-1.7043
2004-09-18,-1.6328
2004-09-25,-1.4603
2004-10-02,-1.5655
2004-10-09,-1.5469
2004-10-16,-1.5369
2004-10-23,-1.4578
2004-10-30,-1.4751
2004-11-06,-1.4114
2004-11-13,-1.3648
2004-11-20,-1.2867
2004-11-27,-1.2168
2004-12-04,-1.334
2004-12-11,-1.2166
2004-12-18,-1.1996
2004-12-25,-1.2222
2005-01-01,-1.1531
2005-01-08,-1.0799
2005-01-15,-0.9836
2005-01-22,-0.998
2005-01-29,-0.8846
2005-02-05,-0.7945
2005-02-12,-0.7608
2005-02-19,-0.8305
2005-02-26,-0.7419
2005-03-05,-0.7516
2005-03-12,-0.8263
2005-03-19,-0.8129
2005-03-26,-0.7422
2005-04-02,-0.7224
2005-04-09,-0.7271
2005-04-16,-0.7504
2005-04-23,-0.6479
2005-04-30,-0.5481
2005-05-07,-0.542
2005-05-14,-0.5347
2005-05-21,-0.4633
2005-05-28,-0.432
2005-06-04,-0.4159
2005-06-11,-0.3606
2005-06-18,-0.3698
2005-06-25,-0.3419
2005-07-02,-0.3088
2005-07-09,-0.3257
2005-07-16,-0.3044
2005-07-23,-0.3149
2005-07-30,-0.2613
2005-08-06,-0.2873
2005-08-13,-0.209
2005-08-20,-0.1878
2005-08-27,-0.1203
2005-09-03,-0.284
2005-09-10,-0.252
2005-09-17,-0.2972
2005-09-24,-0.2299
2005-10-01,-0.1591
2005-10-08,-0.171
2005-10-15,-0.2276
2005-10-22,-0.1811
2005-10-29,-0.1829
2005-11-05,-0.1929
2005-11-12,-0.1073
2005-11-19,-0.1037
2005-11-26,-0.1114
2005-12-03,-0.0958
2005-12-10,-0.1232
2005-12-17,-0.0824
2005-12-24,-0.021
2005-12-31,0.0085
2006-01-07,-0.0239
2006-01-14,-0.0214
2006-01-21,-0.0012
2006-01-28,-0.0186
2006-02-04,0.043
2006-02-11,0.0927
2006-02-18,0.1342
2006-02-25,0.1434
2006-03-04,0.0613
2006-03-11,-0.0232
2006-03-18,-0.0384
2006-03-25,0.0403
2006-04-01,-0.0311
2006-04-08,-0.0842
2006-04-15,-0.0981
2006-04-22,-0.1106
2006-04-29,-0.1922
2006-05-06,-0.175
2006-05-13,-0.1929
2006-05-20,-0.0997
2006-05-27,-0.1067
2006-06-03,-0.0818
2006-06-10,0.0207
2006-06-17,0.0286
2006-06-24,0.0387
2006-07-01,0.0134
2006-07-08,0.0402
2006-07-15,0.0266
2006-07-22,0.0311
2006-07-29,-0.0145
2006-08-05,0.0064
2006-08-12,-0.0041
2006-08-19,0.0295
2006-08-26,0.0723
2006-09-02,0.0343
2006-09-09,0.036
2006-09-16,0.0681
2006-09-23,0.079
2006-09-30,0.0553
2006-10-07,0.039
2006-10-14,0.0633
2006-10-21,0.0858
2006-10-28,0.071
2006-11-04,0.101
2006-11-11,0.1431
2006-11-18,0.1636
2006-11-25,0.1788
2006-12-02,0.0841
2006-12-09,0.1225
2006-12-16,0.1242
2006-12-23,0.099
2006-12-30,0.1058
2007-01-06,0.1052
2007-01-13,0.1008
2007-01-20,0.1355
2007-01-27,0.093
2007-02-03,0.1127
2007-02-10,0.1196
2007-02-17,0.1342
2007-02-24,0.1294
2007-03-03,0.0282
2007-03-10,0.078
2007-03-17,0.0441
2007-03-24,-0.0077
2007-03-31,-0.0699
2007-04-07,-0.0143
2007-04-14,0.0003
2007-04-21,-0.0269
2007-04-28,-0.0435
2007-05-05,0.0283
2007-05-12,0.0296
2007-05-19,0.0137
2007-05-26,-0.0059
2007-06-02,0.0149
2007-06-09,-0.1155
