,usyieldspread_10y_2y_normalized Index
Date,px_last
2004-01-03,-1.416721705
2004-01-10,-1.351530327
2004-01-17,-1.276676655
2004-01-24,-1.337444333
2004-01-31,-1.221962463
2004-02-07,-1.243615313
2004-02-14,-1.287735907
2004-02-21,-1.316606374
2004-02-28,-1.241869116
2004-03-06,-1.193557648
2004-03-13,-1.157585977
2004-03-20,-1.161427611
2004-03-27,-1.148040096
2004-04-03,-1.20391842
2004-04-10,-1.245245098
2004-04-17,-1.269342625
2004-04-24,-1.120450174
2004-05-01,-1.079705562
2004-05-08,-1.035817795
2004-05-15,-1.134303341
2004-05-22,-1.107644724
2004-05-29,-0.990882309
2004-06-05,-0.955492704
2004-06-12,-0.851652151
2004-06-19,-0.772840431
2004-06-26,-0.755262042
2004-07-03,-0.783666857
2004-07-10,-0.792747084
2004-07-17,-0.689721424
2004-07-24,-0.602644369
2004-07-31,-0.621968956
2004-08-07,-0.667020855
2004-08-14,-0.593796967
2004-08-21,-0.623133088
2004-08-28,-0.562831063
2004-09-04,-0.527092218
2004-09-11,-0.513355463
2004-09-18,-0.430120042
2004-09-25,-0.229307315
2004-10-02,-0.351773975
2004-10-09,-0.330121125
2004-10-16,-0.318479807
2004-10-23,-0.226396985
2004-10-30,-0.246536465
2004-11-06,-0.172381272
2004-11-13,-0.118132732
2004-11-20,-0.027214042
2004-11-27,0.054158768
2004-12-04,-0.082277474
2004-12-11,0.054391594
2004-12-18,0.074181834
2004-12-25,0.047872456
2005-01-01,0.128313961
2005-01-08,0.213528405
2005-01-15,0.325634293
2005-01-22,0.308870796
2005-01-29,0.440883337
2005-02-05,0.545771608
2005-02-12,0.585002848
2005-02-19,0.503862865
2005-02-26,0.607004939
2005-03-05,0.595712861
2005-03-12,0.508752218
2005-03-19,0.524351584
2005-03-26,0.606655699
2005-04-02,0.629705508
2005-04-09,0.624234089
2005-04-16,0.597109819
2005-04-23,0.716433324
2005-04-30,0.832613673
2005-05-07,0.839714876
2005-05-14,0.848213038
2005-05-21,0.931332046
2005-05-28,0.96776937
2005-06-04,0.986511891
2005-06-11,1.050888377
2005-06-18,1.040178365
2005-06-25,1.072657641
2005-07-02,1.111190402
2005-07-09,1.091516575
2005-07-16,1.116312582
2005-07-23,1.104089198
2005-07-30,1.16648666
2005-08-06,1.136219235
2005-08-13,1.227370751
2005-08-20,1.252050344
2005-08-27,1.330629238
2005-09-03,1.140060869
2005-09-10,1.177313086
2005-09-17,1.12469433
2005-09-24,1.203040397
2005-10-01,1.285460926
2005-10-08,1.271607758
2005-10-15,1.2057179
2005-10-22,1.259850027
2005-10-29,1.25775459
2005-11-05,1.246113272
2005-11-12,1.345762951
2005-11-19,1.349953825
2005-11-26,1.34099001
2005-12-03,1.359150466
2005-12-10,1.327253256
2005-12-17,1.374749831
2005-12-24,1.446227521
2005-12-31,1.480569408
2006-01-07,1.442851539
2006-01-14,1.445761868
2006-01-21,1.46927733
2006-01-28,1.449021437
2006-02-04,1.520731953
2006-02-11,1.578589302
2006-02-18,1.62690077
2006-02-25,1.637610782
2006-03-04,1.542035565
2006-03-11,1.443666431
2006-03-18,1.425971629
2006-03-25,1.517588798
2006-04-01,1.43446979
2006-04-08,1.372654394
2006-04-15,1.356472963
2006-04-22,1.341921316
2006-04-29,1.246928165
2006-05-06,1.266951231
2006-05-13,1.246113272
2006-05-20,1.354610352
2006-05-27,1.34646143
2006-06-03,1.37544831
2006-06-10,1.494771815
2006-06-17,1.503968456
2006-06-24,1.515726187
2006-07-01,1.486273654
2006-07-08,1.517472385
2006-07-15,1.501640193
2006-07-22,1.506878786
2006-07-29,1.453794378
2006-08-05,1.478124731
2006-08-12,1.465901348
2006-08-19,1.505016175
2006-08-26,1.554841014
2006-09-02,1.510604007
2006-09-09,1.512583031
2006-09-16,1.549951661
2006-09-23,1.562640697
2006-09-30,1.535050774
2006-10-07,1.516075426
2006-10-14,1.544363828
2006-10-21,1.570556793
2006-10-28,1.553327643
2006-11-04,1.588251595
2006-11-11,1.637261542
2006-11-18,1.661126243
2006-11-25,1.678821046
2006-12-02,1.568577769
2006-12-09,1.613280428
2006-12-16,1.615259452
2006-12-23,1.585923332
2006-12-30,1.593839428
2007-01-06,1.593140949
2007-01-13,1.588018769
2007-01-20,1.628414141
2007-01-27,1.578938541
2007-02-03,1.601871937
2007-02-10,1.609904446
2007-02-17,1.62690077
2007-02-24,1.621312937
2007-03-03,1.503502803
2007-03-10,1.561476565
2007-03-17,1.522012498
2007-03-24,1.461710473
2007-03-31,1.389301478
2007-04-07,1.454027204
2007-04-14,1.471023528
2007-04-21,1.439359144
2007-04-28,1.420034557
2007-05-05,1.503619217
2007-05-12,1.505132588
2007-05-19,1.486622893
2007-05-26,1.463805911
2007-06-02,1.488019851
2007-06-09,1.33621707
2007-06-16,1.302457249
2007-06-23,1.211538559
2007-06-30,1.27719559
2007-07-07,1.239128482
2007-07-14,1.264972207
2007-07-21,1.252515997
2007-07-28,1.163227091
2007-08-04,1.159269043
2007-08-11,1.061598389
2007-08-18,0.888491997
2007-08-25,1.092098641
2007-09-01,1.008281155
2007-09-08,0.909795608
2007-09-15,0.979759927
2007-09-22,0.786630468
2007-09-29,0.768702839
2007-10-06,0.817247134
2007-10-13,0.940528687
2007-10-20,0.758574893
2007-10-27,0.739250306
2007-11-03,0.722836048
2007-11-10,0.553454878
2007-11-17,0.508286566
2007-11-24,0.398159702
2007-12-01,0.372665216
2007-12-08,0.3009547
